site;lat;lon;year;month;tmean;prec
b1;50,07;10,44;1931;2;-1,4;31
b1;50,07;10,44;1931;3;0;21
b1;50,07;10,44;1931;4;5,3;67
b1;50,07;10,44;1931;5;15,3;46
b1;50,07;10,44;1931;6;16,4;91
b1;50,07;10,44;1931;7;16,3;123
b1;50,07;10,44;1931;8;14,9;148
b1;50,07;10,44;1931;9;9,5;43
b1;50,07;10,44;1931;10;6,5;29
b1;50,07;10,44;1931;11;3,8;31
b1;50,07;10,44;1931;12;-1,1;48
b1;50,07;10,44;1932;1;1;55
b1;50,07;10,44;1932;2;-2,7;9
b1;50,07;10,44;1932;3;0,3;22
b1;50,07;10,44;1932;4;6,4;47
b1;50,07;10,44;1932;5;12;105
b1;50,07;10,44;1932;6;14,4;61
b1;50,07;10,44;1932;7;17,2;67
b1;50,07;10,44;1932;8;18,5;51
b1;50,07;10,44;1932;9;14,9;80
b1;50,07;10,44;1932;10;7,8;112
b1;50,07;10,44;1932;11;3,8;53
b1;50,07;10,44;1932;12;-0,6;14
b1;50,07;10,44;1933;1;-3,4;29
b1;50,07;10,44;1933;2;-0,1;48
b1;50,07;10,44;1933;3;4,7;46
b1;50,07;10,44;1933;4;6,8;10
b1;50,07;10,44;1933;5;11,1;107
b1;50,07;10,44;1933;6;13,7;257
b1;50,07;10,44;1933;7;17,7;48
b1;50,07;10,44;1933;8;16,5;95
